Bug ID,Bug Fix Commit Hash,Date of Commit
OPENMEETINGS-1962,f2d91360b0dbaf1480126c98893c6fe7a96d1c48,2018-10-30T22:35:33+07:00
OPENMEETINGS-1720,1c3f765ee0c7f5c44ca5010ca6d8418f1a5cead7,2017-10-14T11:41:16+07:00
OPENMEETINGS-1720,3d1f10f6b4029df1596ca4f967d375296519a492,2017-10-13T18:39:45+07:00
OPENMEETINGS-1720,34697089933d60995b1bea5c537e062042a21f17,2017-10-13T18:39:07+07:00
OPENMEETINGS-1720,5e2dffb96a96c288efdb8888a04d689f78ebfb13,2017-10-13T18:21:32+07:00
OPENMEETINGS-1720,4225fdb5b9cb908bc282acc9b72936e20cbef13e,2017-10-13T12:34:48+07:00
OPENMEETINGS-1720,220e729a0a702801d7d63cc3067f081d562223f3,2017-10-13T10:34:04+07:00
OPENMEETINGS-1725,8c85876c0f06732410d900bfc8f3ee29e5b3f148,2017-10-20T21:49:53+07:00
OPENMEETINGS-1725,d921858321d791bcf4ca86c8842fefafa5d15ebd,2017-10-20T20:03:47+07:00
OPENMEETINGS-1726,20ceddfe560a37c3f37d52ace88b9b157498c176,2017-10-20T15:05:21+07:00
OPENMEETINGS-1727,0ee55c9837b1005a9aa9228f449f5b97c3350b90,2017-10-23T18:55:49+07:00
OPENMEETINGS-1727,42512905aa773f28604317add56361fb9b5620ac,2017-10-23T17:00:12+07:00
OPENMEETINGS-1727,737df6e873aac5f4968f280e29502df9b6a5c37e,2017-10-23T16:14:03+07:00
OPENMEETINGS-1727,49e95402b5fd0279a80086b436166662a267ab43,2017-10-23T13:01:56+07:00
OPENMEETINGS-1963,f54ca7d25d731da2d62e7ae4c4941696c61e6543,2018-11-14T18:37:57+07:00
OPENMEETINGS-1964,070b3e4a1c457844ab6b1bf98cec1d11e6730f05,2018-11-15T09:27:42+07:00
OPENMEETINGS-1724,8ff6b15c4bd1338c6dc463e941a909612f6f7d06,2017-10-23T21:38:11+07:00
OPENMEETINGS-1724,37bc6378497a3fdbcc257168e9106c82669b028e,2017-10-22T22:56:43+07:00
OPENMEETINGS-1724,715c251272c6a2dda9de6d323b741ccb39074d25,2017-10-22T22:54:34+07:00
OPENMEETINGS-1724,26c75a4113736536c8039ffd9f9b4dc36803da95,2017-10-20T15:40:11+07:00
OPENMEETINGS-1718,67686134ba453294725ac2f8e4f698cd62ccf07e,2017-10-09T10:43:17+07:00
OPENMEETINGS-1719,687415930cc6c81dbda3deef848f19b67168f7c1,2017-10-10T12:01:14+07:00
OPENMEETINGS-1719,fba7dcdbfdf903f6a77654d9b63b1e21f2e7f1db,2017-10-09T22:47:53+07:00
OPENMEETINGS-1719,1de99d21379980600af06d5b86606b70df58b312,2017-10-09T15:22:18+07:00
OPENMEETINGS-1957,cc63ec8a8ff2b44acd21e9b999a16eb37eba1ab2,2018-10-18T18:55:20+07:00
OPENMEETINGS-1715,58cf1917ed21b17fc05d8692efd754c97fe277e4,2017-10-04T17:22:15+07:00
OPENMEETINGS-1715,18b239bc2238aa88187b8f34a63a735ecc19ffaf,2017-10-04T15:57:15+07:00
OPENMEETINGS-1715,ce85e43d1c45b95ea94425d28c37abcb6a1aa464,2017-09-29T14:18:47+07:00
OPENMEETINGS-1715,2e4f591fce79b18276fd00f78cb3f08a45e89e23,2017-09-28T17:18:14+07:00
OPENMEETINGS-1717,9bb9c36507af5fe122aef5ea27507d2a1cee8a51,2017-10-19T18:16:23+07:00
